tile_id,date_mode,date_mode_month,year
6060_668,20140312,"2014, 03",2014
6060_669,20140312,"2014, 03",2014
6060_670,20140312,"2014, 03",2014
6060_671,20140312,"2014, 03",2014
6060_672,20140312,"2014, 03",2014
6060_673,20140312,"2014, 03",2014
6060_674,20140312,"2014, 03",2014
6060_675,20140312,"2014, 03",2014
6060_676,20140312,"2014, 03",2014
6060_677,20140312,"2014, 03",2014
6060_678,20140312,"2014, 03",2014
6060_679,20140312,"2014, 03",2014
6060_680,20140312,"2014, 03",2014
6060_681,20140308,"2014, 03",2014
6060_682,20140308,"2014, 03",2014
6060_684,20140308,"2014, 03",2014
6060_685,20140308,"2014, 03",2014
6060_686,20140308,"2014, 03",2014
6060_687,20140308,"2014, 03",2014
6060_688,20140308,"2014, 03",2014
6060_689,20140308,"2014, 03",2014
6060_690,20140308,"2014, 03",2014
6060_691,20140309,"2014, 03",2014
6061_648,20140419,"2014, 04",2014
6061_649,20140419,"2014, 04",2014
6061_650,20140419,"2014, 04",2014
6061_651,20140419,"2014, 04",2014
6061_652,20140419,"2014, 04",2014
6061_653,20140419,"2014, 04",2014
6061_654,20140419,"2014, 04",2014
6061_655,20140419,"2014, 04",2014
6061_656,20140419,"2014, 04",2014
6061_657,20140419,"2014, 04",2014
6061_658,20140419,"2014, 04",2014
6061_659,20140309,"2014, 03",2014
6061_660,20140309,"2014, 03",2014
6061_661,20140309,"2014, 03",2014
6061_662,20140309,"2014, 03",2014
6061_663,20140309,"2014, 03",2014
6061_664,20140309,"2014, 03",2014
6061_665,20140309,"2014, 03",2014
6061_666,20140312,"2014, 03",2014
6061_667,20140312,"2014, 03",2014
6061_668,20140312,"2014, 03",2014
6061_669,20140312,"2014, 03",2014
6061_670,20140312,"2014, 03",2014
6061_671,20140312,"2014, 03",2014
6061_672,20140312,"2014, 03",2014
6061_673,20140312,"2014, 03",2014
6061_674,20140312,"2014, 03",2014
6061_675,20140312,"2014, 03",2014
6061_676,20140312,"2014, 03",2014
6061_677,20140312,"2014, 03",2014
6061_678,20140312,"2014, 03",2014
6061_679,20140312,"2014, 03",2014
6061_680,20140312,"2014, 03",2014
6061_681,20140308,"2014, 03",2014
6061_682,20140308,"2014, 03",2014
6061_683,20140308,"2014, 03",2014
6061_684,20140308,"2014, 03",2014
6061_685,20140308,"2014, 03",2014
6061_686,20140308,"2014, 03",2014
6061_687,20140308,"2014, 03",2014
6061_688,20140308,"2014, 03",2014
6061_689,20140308,"2014, 03",2014
6061_690,20140309,"2014, 03",2014
6061_691,20140309,"2014, 03",2014
6062_646,20140419,"2014, 04",2014
6062_647,20140419,"2014, 04",2014
6062_648,20140419,"2014, 04",2014
6062_649,20140419,"2014, 04",2014
6062_650,20140419,"2014, 04",2014
6062_651,20140419,"2014, 04",2014
6062_652,20140419,"2014, 04",2014
6062_653,20140419,"2014, 04",2014
6062_654,20140419,"2014, 04",2014
6062_655,20140419,"2014, 04",2014
6062_656,20140309,"2014, 03",2014
6062_657,20140309,"2014, 03",2014
6062_658,20140309,"2014, 03",2014
6062_659,20140309,"2014, 03",2014
6062_660,20140309,"2014, 03",2014
6062_661,20140309,"2014, 03",2014
6062_662,20140309,"2014, 03",2014
6062_663,20140309,"2014, 03",2014
6062_664,20140309,"2014, 03",2014
6062_665,20140309,"2014, 03",2014
6062_666,20140312,"2014, 03",2014
6062_667,20140312,"2014, 03",2014
6062_668,20140312,"2014, 03",2014
6062_669,20140312,"2014, 03",2014
6062_670,20140312,"2014, 03",2014
6062_671,20140312,"2014, 03",2014
6062_672,20140312,"2014, 03",2014
6062_673,20140312,"2014, 03",2014
6062_674,20140312,"2014, 03",2014
6062_675,20140312,"2014, 03",2014
6062_676,20140312,"2014, 03",2014
6062_677,20140312,"2014, 03",2014
6062_678,20140312,"2014, 03",2014
6062_679,20140312,"2014, 03",2014
6062_680,20140308,"2014, 03",2014
6062_681,20140308,"2014, 03",2014
6062_682,20140308,"2014, 03",2014
6062_683,20140308,"2014, 03",2014
6062_685,20140308,"2014, 03",2014
6062_686,20140308,"2014, 03",2014
6062_687,20140308,"2014, 03",2014
6062_688,20140308,"2014, 03",2014
6062_689,20140308,"2014, 03",2014
6062_690,20140309,"2014, 03",2014
6062_691,20140309,"2014, 03",2014
6063_645,20140419,"2014, 04",2014
6063_646,20140419,"2014, 04",2014
6063_647,20140419,"2014, 04",2014
6063_648,20140419,"2014, 04",2014
6063_649,20140419,"2014, 04",2014
6063_650,20140419,"2014, 04",2014
6063_651,20140419,"2014, 04",2014
6063_652,20140419,"2014, 04",2014
6063_653,20140419,"2014, 04",2014
6063_654,20140419,"2014, 04",2014
6063_655,20140309,"2014, 03",2014
6063_656,20140309,"2014, 03",2014
6063_657,20140309,"2014, 03",2014
6063_658,20140309,"2014, 03",2014
6063_659,20140309,"2014, 03",2014
6063_660,20140309,"2014, 03",2014
6063_661,20140309,"2014, 03",2014
6063_662,20140309,"2014, 03",2014
6063_663,20140309,"2014, 03",2014
6063_664,20140309,"2014, 03",2014
6063_665,20140312,"2014, 03",2014
6063_666,20140312,"2014, 03",2014
6063_667,20140312,"2014, 03",2014
6063_668,20140312,"2014, 03",2014
6063_669,20140312,"2014, 03",2014
6063_670,20140312,"2014, 03",2014
6063_671,20140312,"2014, 03",2014
6063_672,20140312,"2014, 03",2014
6063_673,20140312,"2014, 03",2014
6063_674,20140312,"2014, 03",2014
6063_675,20140312,"2014, 03",2014
6063_676,20140312,"2014, 03",2014
6063_677,20140312,"2014, 03",2014
6063_678,20140312,"2014, 03",2014
6063_679,20140312,"2014, 03",2014
6063_680,20140308,"2014, 03",2014
6063_681,20140308,"2014, 03",2014
6063_682,20140308,"2014, 03",2014
6063_683,20140308,"2014, 03",2014
6063_684,20140308,"2014, 03",2014
6063_685,20140308,"2014, 03",2014
6063_686,20140308,"2014, 03",2014
6063_687,20140308,"2014, 03",2014
6063_688,20140308,"2014, 03",2014
6063_689,20140308,"2014, 03",2014
6063_690,20140309,"2014, 03",2014
6063_691,20140309,"2014, 03",2014
6064_642,20140419,"2014, 04",2014
6064_643,20140419,"2014, 04",2014
6064_644,20140419,"2014, 04",2014
6064_645,20140419,"2014, 04",2014
6064_646,20140419,"2014, 04",2014
6064_647,20140419,"2014, 04",2014
6064_648,20140419,"2014, 04",2014
6064_649,20140419,"2014, 04",2014
6064_650,20140419,"2014, 04",2014
6064_651,20140419,"2014, 04",2014
6064_652,20140419,"2014, 04",2014
6064_653,20140309,"2014, 03",2014
6064_654,20140309,"2014, 03",2014
6064_655,20140309,"2014, 03",2014
6064_656,20140309,"2014, 03",2014
6064_657,20140309,"2014, 03",2014
6064_658,20140309,"2014, 03",2014
6064_659,20140309,"2014, 03",2014
6064_660,20140309,"2014, 03",2014
6064_661,20140309,"2014, 03",2014
6064_662,20140309,"2014, 03",2014
6064_663,20140309,"2014, 03",2014
6064_664,20140309,"2014, 03",2014
6064_665,20140312,"2014, 03",2014
6064_666,20140312,"2014, 03",2014
6064_667,20140312,"2014, 03",2014
6064_668,20140312,"2014, 03",2014
6064_669,20140312,"2014, 03",2014
6064_670,20140312,"2014, 03",2014
6064_671,20140312,"2014, 03",2014
6064_672,20140312,"2014, 03",2014
6064_673,20140312,"2014, 03",2014
6064_674,20140312,"2014, 03",2014
6064_675,20140312,"2014, 03",2014
6064_676,20140312,"2014, 03",2014
6064_677,20140312,"2014, 03",2014
6064_678,20140312,"2014, 03",2014
6064_679,20140312,"2014, 03",2014
6064_680,20140308,"2014, 03",2014
6064_681,20140308,"2014, 03",2014
6064_682,20140308,"2014, 03",2014
6064_683,20140308,"2014, 03",2014
6064_684,20140308,"2014, 03",2014
6064_685,20140308,"2014, 03",2014
6064_686,20140308,"2014, 03",2014
6064_687,20140308,"2014, 03",2014
6064_688,20140308,"2014, 03",2014
6064_689,20140309,"2014, 03",2014
6064_690,20140309,"2014, 03",2014
6064_691,20140309,"2014, 03",2014
6065_608,20140415,"2014, 04",2014
6065_609,20140415,"2014, 04",2014
6065_610,20140413,"2014, 04",2014
6065_640,20140419,"2014, 04",2014
6065_641,20140419,"2014, 04",2014
6065_642,20140419,"2014, 04",2014
6065_643,20140419,"2014, 04",2014
6065_644,20140419,"2014, 04",2014
6065_645,20140419,"2014, 04",2014
6065_646,20140419,"2014, 04",2014
6065_647,20140419,"2014, 04",2014
6065_648,20140419,"2014, 04",2014
6065_649,20140419,"2014, 04",2014
6065_650,20140419,"2014, 04",2014
6065_651,20140309,"2014, 03",2014
6065_652,20140309,"2014, 03",2014
6065_653,20140309,"2014, 03",2014
6065_654,20140309,"2014, 03",2014
6065_655,20140309,"2014, 03",2014
6065_656,20140309,"2014, 03",2014
6065_657,20140309,"2014, 03",2014
6065_658,20140309,"2014, 03",2014
6065_659,20140309,"2014, 03",2014
6065_660,20140309,"2014, 03",2014
6065_661,20140309,"2014, 03",2014
6065_662,20140309,"2014, 03",2014
6065_663,20140309,"2014, 03",2014
6065_664,20140309,"2014, 03",2014
6065_665,20140312,"2014, 03",2014
6065_666,20140312,"2014, 03",2014
6065_667,20140312,"2014, 03",2014
6065_668,20140312,"2014, 03",2014
6065_669,20140312,"2014, 03",2014
6065_670,20140312,"2014, 03",2014
6065_671,20140312,"2014, 03",2014
6065_672,20140312,"2014, 03",2014
6065_673,20140312,"2014, 03",2014
6065_674,20140312,"2014, 03",2014
6065_675,20140312,"2014, 03",2014
6065_676,20140312,"2014, 03",2014
6065_677,20140312,"2014, 03",2014
6065_678,20140312,"2014, 03",2014
6065_679,20140308,"2014, 03",2014
6065_680,20140308,"2014, 03",2014
6065_681,20140308,"2014, 03",2014
6065_682,20140308,"2014, 03",2014
6065_686,20140308,"2014, 03",2014
6065_687,20140308,"2014, 03",2014
6065_688,20140308,"2014, 03",2014
6065_689,20140309,"2014, 03",2014
6065_690,20140309,"2014, 03",2014
6065_691,20140309,"2014, 03",2014
6065_692,20140309,"2014, 03",2014
6066_607,20140415,"2014, 04",2014
6066_608,20140415,"2014, 04",2014
6066_609,20140415,"2014, 04",2014
6066_610,20140413,"2014, 04",2014
6066_611,20140413,"2014, 04",2014
6066_637,20140419,"2014, 04",2014
6066_638,20140419,"2014, 04",2014
6066_639,20140419,"2014, 04",2014
6066_640,20140419,"2014, 04",2014
6066_641,20140419,"2014, 04",2014
6066_642,20140419,"2014, 04",2014
6066_643,20140419,"2014, 04",2014
6066_644,20140419,"2014, 04",2014
6066_645,20140419,"2014, 04",2014
6066_646,20140419,"2014, 04",2014
6066_647,20140419,"2014, 04",2014
6066_648,20140419,"2014, 04",2014
6066_649,20140419,"2014, 04",2014
6066_650,20140309,"2014, 03",2014
6066_651,20140309,"2014, 03",2014
6066_652,20140309,"2014, 03",2014
6066_653,20140309,"2014, 03",2014
6066_654,20140309,"2014, 03",2014
6066_655,20140309,"2014, 03",2014
6066_656,20140309,"2014, 03",2014
6066_657,20140309,"2014, 03",2014
6066_658,20140309,"2014, 03",2014
6066_659,20140309,"2014, 03",2014
6066_660,20140309,"2014, 03",2014
6066_661,20140309,"2014, 03",2014
6066_662,20140309,"2014, 03",2014
6066_663,20140309,"2014, 03",2014
6066_664,20140312,"2014, 03",2014
6066_665,20140312,"2014, 03",2014
6066_666,20140312,"2014, 03",2014
6066_667,20140312,"2014, 03",2014
6066_668,20140312,"2014, 03",2014
6066_669,20140312,"2014, 03",2014
6066_670,20140312,"2014, 03",2014
6066_671,20140312,"2014, 03",2014
6066_672,20140312,"2014, 03",2014
6066_673,20140312,"2014, 03",2014
6066_674,20140312,"2014, 03",2014
6066_675,20140312,"2014, 03",2014
6066_676,20140312,"2014, 03",2014
6066_677,20140312,"2014, 03",2014
6066_678,20140312,"2014, 03",2014
6066_679,20140308,"2014, 03",2014
6066_680,20140308,"2014, 03",2014
6066_681,20140308,"2014, 03",2014
6066_682,20140308,"2014, 03",2014
6066_685,NA,No date,NA
6066_686,20140308,"2014, 03",2014
6066_687,20140308,"2014, 03",2014
6066_688,20140309,"2014, 03",2014
6066_689,20140309,"2014, 03",2014
6066_690,20140309,"2014, 03",2014
6066_691,20140309,"2014, 03",2014
6066_692,20140309,"2014, 03",2014
6066_693,NA,No date,NA
6067_607,20140413,"2014, 04",2014
6067_608,20140415,"2014, 04",2014
6067_609,20140415,"2014, 04",2014
6067_610,20140413,"2014, 04",2014
6067_611,20140413,"2014, 04",2014
6067_634,20140419,"2014, 04",2014
6067_635,20140419,"2014, 04",2014
6067_636,20140419,"2014, 04",2014
6067_637,20140419,"2014, 04",2014
6067_638,20140419,"2014, 04",2014
6067_639,20140419,"2014, 04",2014
6067_640,20140419,"2014, 04",2014
6067_641,20140419,"2014, 04",2014
6067_642,20140419,"2014, 04",2014
6067_643,20140419,"2014, 04",2014
6067_644,20140419,"2014, 04",2014
6067_645,20140419,"2014, 04",2014
6067_646,20140419,"2014, 04",2014
6067_647,20140419,"2014, 04",2014
6067_648,20140309,"2014, 03",2014
6067_649,20140309,"2014, 03",2014
6067_650,20140309,"2014, 03",2014
6067_651,20140309,"2014, 03",2014
6067_652,20140309,"2014, 03",2014
6067_653,20140309,"2014, 03",2014
6067_654,20140309,"2014, 03",2014
6067_655,20140309,"2014, 03",2014
6067_656,20140309,"2014, 03",2014
6067_657,20140309,"2014, 03",2014
6067_658,20140309,"2014, 03",2014
6067_659,20140309,"2014, 03",2014
6067_660,20140309,"2014, 03",2014
6067_661,20140309,"2014, 03",2014
6067_662,20140309,"2014, 03",2014
6067_663,20140312,"2014, 03",2014
6067_664,20140312,"2014, 03",2014
6067_665,20140312,"2014, 03",2014
6067_666,20140312,"2014, 03",2014
6067_667,20140312,"2014, 03",2014
6067_668,20140312,"2014, 03",2014
6067_669,20140312,"2014, 03",2014
6067_670,20140312,"2014, 03",2014
6067_671,20140312,"2014, 03",2014
6067_672,20140312,"2014, 03",2014
6067_673,20140312,"2014, 03",2014
6067_674,20140312,"2014, 03",2014
6067_675,20140312,"2014, 03",2014
6067_676,20140312,"2014, 03",2014
6067_677,20140312,"2014, 03",2014
6067_678,20140312,"2014, 03",2014
6067_679,20140308,"2014, 03",2014
6067_680,20140308,"2014, 03",2014
6067_681,20140308,"2014, 03",2014
6067_682,20140308,"2014, 03",2014
6067_683,20140308,"2014, 03",2014
6067_684,20140308,"2014, 03",2014
6067_685,20140308,"2014, 03",2014
6067_686,20140308,"2014, 03",2014
6067_687,20140308,"2014, 03",2014
6067_688,20140309,"2014, 03",2014
6067_689,20140309,"2014, 03",2014
6067_690,20140309,"2014, 03",2014
6067_691,20140309,"2014, 03",2014
6067_692,20140312,"2014, 03",2014
6067_693,20140312,"2014, 03",2014
6067_694,20140312,"2014, 03",2014
6068_607,20140413,"2014, 04",2014
6068_608,20140415,"2014, 04",2014
6068_609,20140415,"2014, 04",2014
6068_610,20140413,"2014, 04",2014
6068_611,20140413,"2014, 04",2014
6068_612,20140413,"2014, 04",2014
6068_631,20140419,"2014, 04",2014
6068_632,20140419,"2014, 04",2014
6068_633,20140419,"2014, 04",2014
6068_634,20140419,"2014, 04",2014
6068_635,20140419,"2014, 04",2014
6068_636,20140419,"2014, 04",2014
6068_637,20140419,"2014, 04",2014
6068_638,20140419,"2014, 04",2014
6068_639,20140419,"2014, 04",2014
6068_640,20140419,"2014, 04",2014
6068_641,20140419,"2014, 04",2014
6068_642,20140419,"2014, 04",2014
6068_643,20140419,"2014, 04",2014
6068_644,20140419,"2014, 04",2014
6068_645,20140419,"2014, 04",2014
6068_646,20140309,"2014, 03",2014
6068_647,20140309,"2014, 03",2014
6068_648,20140309,"2014, 03",2014
6068_649,20140309,"2014, 03",2014
6068_650,20140309,"2014, 03",2014
6068_651,20140309,"2014, 03",2014
6068_652,20140309,"2014, 03",2014
6068_653,20140309,"2014, 03",2014
6068_654,20140309,"2014, 03",2014
6068_655,20140309,"2014, 03",2014
6068_656,20140309,"2014, 03",2014
6068_657,20140309,"2014, 03",2014
6068_658,20140309,"2014, 03",2014
6068_659,20140309,"2014, 03",2014
6068_660,20140309,"2014, 03",2014
6068_661,20140309,"2014, 03",2014
6068_662,20140309,"2014, 03",2014
6068_663,20140312,"2014, 03",2014
6068_664,20140312,"2014, 03",2014
6068_665,20140312,"2014, 03",2014
6068_666,20140312,"2014, 03",2014
6068_667,20140312,"2014, 03",2014
6068_668,20140312,"2014, 03",2014
6068_669,20140312,"2014, 03",2014
6068_670,20140312,"2014, 03",2014
6068_671,20140312,"2014, 03",2014
6068_672,20140312,"2014, 03",2014
6068_673,20140312,"2014, 03",2014
6068_674,20140312,"2014, 03",2014
6068_675,20140312,"2014, 03",2014
6068_676,20140312,"2014, 03",2014
6068_677,20140312,"2014, 03",2014
6068_678,20140308,"2014, 03",2014
6068_679,20140308,"2014, 03",2014
6068_680,20140308,"2014, 03",2014
6068_681,20140308,"2014, 03",2014
6068_682,20140308,"2014, 03",2014
6068_683,20140308,"2014, 03",2014
6068_684,20140308,"2014, 03",2014
6068_685,20140308,"2014, 03",2014
6068_686,20140308,"2014, 03",2014
6068_687,20140308,"2014, 03",2014
6068_688,20140309,"2014, 03",2014
6068_689,20140309,"2014, 03",2014
6068_690,20140309,"2014, 03",2014
6068_691,20140309,"2014, 03",2014
6068_692,20140312,"2014, 03",2014
6068_693,20140312,"2014, 03",2014
6068_694,20140312,"2014, 03",2014
6069_607,20140413,"2014, 04",2014
6069_608,20140415,"2014, 04",2014
6069_609,20140415,"2014, 04",2014
6069_610,20140415,"2014, 04",2014
6069_611,20140413,"2014, 04",2014
6069_612,20140413,"2014, 04",2014
6069_629,20140419,"2014, 04",2014
6069_630,20140419,"2014, 04",2014
6069_631,20140419,"2014, 04",2014
6069_632,20140419,"2014, 04",2014
6069_633,20140419,"2014, 04",2014
6069_634,20140419,"2014, 04",2014
6069_635,20140419,"2014, 04",2014
6069_636,20140419,"2014, 04",2014
6069_637,20140419,"2014, 04",2014
6069_638,20140419,"2014, 04",2014
6069_639,20140419,"2014, 04",2014
6069_640,20140419,"2014, 04",2014
6069_641,20140419,"2014, 04",2014
6069_642,20140419,"2014, 04",2014
6069_643,20140419,"2014, 04",2014
6069_644,20140309,"2014, 03",2014
6069_645,20140309,"2014, 03",2014
6069_646,20140309,"2014, 03",2014
6069_647,20140309,"2014, 03",2014
6069_648,20140309,"2014, 03",2014
6069_649,20140309,"2014, 03",2014
6069_650,20140309,"2014, 03",2014
6069_651,20140309,"2014, 03",2014
6069_652,20140309,"2014, 03",2014
6069_653,20140309,"2014, 03",2014
6069_654,20140309,"2014, 03",2014
6069_655,20140309,"2014, 03",2014
6069_656,20140309,"2014, 03",2014
6069_657,20140309,"2014, 03",2014
6069_658,20140309,"2014, 03",2014
6069_659,20140309,"2014, 03",2014
6069_660,20140309,"2014, 03",2014
6069_661,20140309,"2014, 03",2014
6069_662,20140309,"2014, 03",2014
6069_663,20140312,"2014, 03",2014
6069_664,20140312,"2014, 03",2014
6069_665,20140312,"2014, 03",2014
6069_666,20140312,"2014, 03",2014
6069_667,20140312,"2014, 03",2014
6069_668,20140312,"2014, 03",2014
6069_669,20140312,"2014, 03",2014
6069_670,20140312,"2014, 03",2014
6069_671,20140312,"2014, 03",2014
6069_672,20140312,"2014, 03",2014
6069_673,20140312,"2014, 03",2014
6069_674,20140312,"2014, 03",2014
6069_675,20140312,"2014, 03",2014
6069_676,20140312,"2014, 03",2014
6069_677,20140312,"2014, 03",2014
6069_678,20140308,"2014, 03",2014
6069_679,20140308,"2014, 03",2014
6069_680,20140308,"2014, 03",2014
6069_681,20140308,"2014, 03",2014
6069_682,20140308,"2014, 03",2014
6069_683,20140308,"2014, 03",2014
6069_684,20140308,"2014, 03",2014
6069_685,20140308,"2014, 03",2014
6069_686,20140308,"2014, 03",2014
6069_687,20140309,"2014, 03",2014
6069_688,20140309,"2014, 03",2014
6069_689,20140309,"2014, 03",2014
6069_690,20140309,"2014, 03",2014
6069_691,20140312,"2014, 03",2014
6069_692,20140312,"2014, 03",2014
6069_693,20140312,"2014, 03",2014
6069_694,20140312,"2014, 03",2014
6069_695,20140312,"2014, 03",2014
6070_607,20140413,"2014, 04",2014
6070_608,20140413,"2014, 04",2014
6070_609,20140415,"2014, 04",2014
6070_610,20140415,"2014, 04",2014
6070_611,20140413,"2014, 04",2014
6070_612,20140413,"2014, 04",2014
6070_628,20140419,"2014, 04",2014
6070_629,20140419,"2014, 04",2014
6070_630,20140419,"2014, 04",2014
6070_631,20140419,"2014, 04",2014
6070_632,20140419,"2014, 04",2014
6070_633,20140419,"2014, 04",2014
6070_634,20140419,"2014, 04",2014
6070_635,20140419,"2014, 04",2014
6070_636,20140419,"2014, 04",2014
6070_637,20140419,"2014, 04",2014
6070_638,20140419,"2014, 04",2014
6070_639,20140419,"2014, 04",2014
6070_640,20140419,"2014, 04",2014
6070_641,20140419,"2014, 04",2014
6070_642,20140309,"2014, 03",2014
6070_643,20140309,"2014, 03",2014
6070_644,20140309,"2014, 03",2014
